S no,Date,Region,Cumulative  tests performed,Cumulative  Test positive,Tests  performed in last 24 hours,Still admitted,Discharged,Expired,Home Quarantine,New  (last 24 hrs),Expired status
187,43945,Punjab,69971,5046,2089,1331,2577,73,20,969,Dangerour
188,43945,Sindh,35582,3945,2554,1205,1893,75,14,2554,Dangerour
189,43946,AJK,1588,55,66,23,0,0,0,66,Normal
190,43946,Balochistan,7212,722,470,86,449,11,0,1610,Alert
191,43946,GB,3273,308,111,10,79,3,0,157,Normal
192,43946,ICT,8455,235,396,15,188,3,0,396,Normal
193,43946,KP,13930,1793,821,455,760,93,10,821,Dangerour
194,43946,Punjab,71726,5378,1755,1594,2577,81,25,1330,Dangerour
195,43946,Sindh,38181,4232,2599,1206,2146,78,14,2599,Dangerour
196,43947,AJK,1588,55,66,23,32,0,0,66,Normal
197,43947,Balochistan,7212,722,470,86,176,11,449,1610,Alert
198,43947,GB,3273,308,111,10,216,3,79,157,Normal
199,43947,ICT,8455,235,396,15,29,3,188,396,Normal
200,43947,KP,13930,1793,821,455,485,93,760,821,Dangerour
201,43947,Punjab,71726,5378,1755,1594,1126,81,2577,1330,Dangerour
202,43947,Sindh,38181,4232,2599,1206,802,78,2146,2599,Dangerour
203,43948,AJK,1692,59,104,24,35,0,0,104,Normal
204,43948,Balochistan,7582,781,370,90,176,13,502,875,Alert
205,43948,GB,3398,318,125,10,219,3,86,84,Normal
206,43948,ICT,8753,245,298,15,29,3,198,298,Normal
207,43948,KP,14889,1864,959,484,515,98,767,959,Dangerour
208,43948,Punjab,73226,5446,1500,1602,1183,83,2578,228,Dangerour
209,43948,Sindh,41216,4615,3035,1230,872,81,2432,3035,Dangerour
210,43949,AJK,1713,65,21,30,35,0,0,21,Normal
211,43949,Balochistan,7991,853,409,93,176,14,570,1058,Alert
212,43949,GB,3515,320,117,10,222,3,85,61,Normal
213,43949,ICT,9247,261,494,18,36,4,203,494,Normal
214,43949,KP,15737,1984,848,500,533,104,847,848,Dangerour
215,43949,Punjab,75071,5640,1845,1664,1306,91,2579,2315,Dangerour
216,43949,Sindh,43949,4956,2733,1241,925,85,2705,2733,Dangerour
217,43950,AJK,1826,65,113,28,37,0,0,113,Normal
218,43950,Balochistan,8504,915,513,93,176,14,632,949,Alert
219,43950,GB,3647,330,132,9,224,3,94,197,Normal
220,43950,ICT,9705,297,458,19,36,4,238,458,Normal
221,43950,KP,16549,2160,812,496,562,114,988,812,Dangerour
222,43950,Punjab,77619,5827,2548,1719,1427,100,2581,2152,Dangerour
223,43950,Sindh,48061,5291,4112,1323,963,92,2913,4112,Dangerour
224,43951,AJK,1958,66,132,29,37,0,0,132,Normal
225,43951,Balochistan,8820,978,316,88,180,14,696,901,Alert
226,43951,GB,3791,333,144,10,228,3,92,243,Normal
227,43951,ICT,10435,313,730,21,44,4,244,730,Normal
228,43951,KP,17452,2313,903,576,614,122,1001,903,Dangerour
229,43951,Punjab,79914,6061,2295,1597,1780,103,2581,2422,Dangerour
230,43951,Sindh,51790,5695,3729,1239,1169,100,3187,3729,Dangerour
231,43952,AJK,2038,66,80,23,43,0,0,80,Normal
232,43952,Balochistan,9435,1049,615,90,183,14,762,1148,Alert
233,43952,GB,3932,339,141,10,248,3,78,194,Normal
234,43952,ICT,11194,343,759,18,44,4,277,759,Normal
